rank,model_order,seasonal_order,training_aic,evaluation_aic,MAE,RMSE,MAPE,SMAPE
1,"(1, 0, 2)","(1, 0, 1, 7)",3598.863522245062,3598.863522245062,54.17004881135664,60.81934509767085,14.528578872452686,14.547799302473821
2,"(1, 0, 1)","(0, 0, 1, 7)",3600.278489811446,3600.278489811446,53.92474526635862,61.1093078914919,14.266668646146988,14.482702656073604
3,"(2, 0, 1)","(1, 0, 0, 7)",3614.4411518693473,3614.4411518693473,53.942851525634566,61.20257776506895,14.259458324855496,14.487548043450666
4,"(1, 0, 2)","(0, 0, 1, 7)",3597.357359919486,3597.357359919486,53.94705998550793,61.23592095864705,14.256014410634856,14.48864858757746
5,"(2, 0, 1)","(0, 0, 1, 7)",3614.36968355697,3614.36968355697,53.945988950401556,61.244457883076464,14.254131444696203,14.488334819466225
6,"(1, 0, 1)","(1, 0, 0, 7)",3624.210982786183,3624.210982786183,53.91734383894129,61.257627143483134,14.241247936908636,14.480313860602239
7,"(1, 0, 2)","(1, 0, 0, 7)",3618.980985050689,3618.9809850506886,53.93659966058382,61.31828474836061,14.239711553663234,14.485553615404273
8,"(2, 0, 2)","(0, 0, 1, 7)",3592.4515685715724,3592.4515685715724,54.462247000637866,61.721882682654,14.402394442507696,14.630434524774513
9,"(2, 0, 2)","(1, 0, 1, 7)",3595.1936854735222,3595.1936854735222,55.12761099735962,61.737299909378635,14.8239473058787,14.80631682038095
10,"(2, 0, 2)","(1, 0, 0, 7)",3607.0075707216574,3607.0075707216583,54.48732649247797,61.891898407462904,14.388779057163445,14.637196912623631
11,"(1, 0, 1)","(0, 0, 0, 7)",3688.938079339616,3688.938079339616,53.99180332899146,61.91864052154837,14.176084796028917,14.499642544822866
12,"(2, 0, 1)","(0, 0, 0, 7)",3678.192147704811,3678.192147704811,54.000517875201844,61.938618070990536,14.176787850341718,14.502036024937615
13,"(1, 0, 2)","(0, 0, 0, 7)",3668.02803080147,3668.02803080147,54.00172715593856,62.00098614563235,14.168997303656234,14.502234711587198
14,"(2, 0, 2)","(0, 0, 0, 7)",3669.46116399084,3669.46116399084,54.40016945793675,62.45826578228469,14.267574162009906,14.612628074736639
15,"(0, 0, 2)","(0, 1, 1, 7)",3528.8518505970374,3528.8518505970374,56.11017634932991,65.4124823444401,14.880250624649744,15.058412862196077
16,"(0, 0, 0)","(0, 1, 1, 7)",3546.041157302516,3546.041157302516,56.11118755197485,65.41934868525931,14.881265165327056,15.05876256842574
17,"(2, 0, 0)","(0, 1, 1, 7)",3549.7752680930107,3549.7752680930107,56.11163096364554,65.4246844146243,14.880284631329765,15.05856388032218
18,"(1, 0, 0)","(0, 1, 1, 7)",3547.8771067575826,3547.8771067575826,56.16996208995919,65.48294540090257,14.900212032273197,15.074744570759776
19,"(0, 0, 1)","(0, 1, 1, 7)",3537.790044549894,3537.790044549894,56.169304065286035,65.48367137175121,14.900007085229488,15.074550018333605
20,"(0, 0, 2)","(1, 0, 1, 7)",3612.1398001656553,3612.1398001656553,56.38200909015677,66.00943068685828,14.875781585360318,15.137361846929817
21,"(2, 0, 0)","(1, 0, 1, 7)",3623.4532085805295,3623.4532085805304,56.38433470066298,66.06732367168206,14.8635622364407,15.13843273050889
22,"(1, 0, 0)","(1, 0, 1, 7)",3631.8612978626497,3631.8612978626497,56.455191927410894,66.10493006471776,14.895333886407464,15.15803304460284
23,"(0, 0, 1)","(1, 0, 1, 7)",3621.743995417696,3621.743995417696,56.4657642890513,66.13239031518536,14.89472812421454,15.161122038973632
24,"(0, 0, 0)","(1, 0, 1, 7)",3630.20356847856,3630.20356847856,56.47858885526132,66.16022015203752,14.900245200936554,15.164246052848323
25,"(2, 0, 2)","(0, 1, 1, 7)",3530.507601438977,3530.507601438977,56.766144963269284,66.26165925524131,15.04201448253007,15.236033199589277
26,"(1, 0, 1)","(0, 1, 1, 7)",3537.0445697112827,3537.0445697112827,57.05935387348272,66.66601210545912,15.134137692343142,15.313996502845317
27,"(1, 0, 2)","(0, 1, 1, 7)",3528.7967140255746,3528.7967140255746,57.06842528297135,66.69011170668333,15.134904193422413,15.316214294773738
28,"(2, 0, 1)","(0, 1, 1, 7)",3538.9852321075364,3538.9852321075364,57.07488803813026,66.6970857659562,15.1364273395283,15.318044305057743
29,"(1, 0, 1)","(1, 0, 1, 7)",3621.328034903008,3621.328034903008,56.972342931879794,66.78266779189941,15.0459677322356,15.295440797035084
30,"(0, 0, 0)","(1, 1, 1, 7)",3545.5897393302657,3545.5897393302657,57.228797651433055,66.88612625946443,15.230663792693234,15.354995211794813
31,"(2, 0, 1)","(1, 0, 1, 7)",3623.854370146976,3623.854370146976,57.10987140145695,66.90743303919726,15.07936578416994,15.332167717017075
32,"(1, 0, 0)","(1, 1, 1, 7)",3547.264465898388,3547.2644658983877,57.34414265903379,67.01328337344617,15.266448399156612,15.386077194304404
33,"(2, 0, 0)","(1, 1, 1, 7)",3538.8363439115287,3538.8363439115287,57.372485631262364,67.06589570057403,15.273989753953234,15.393152204962984
34,"(0, 0, 1)","(1, 1, 1, 7)",3536.873718333389,3536.873718333389,57.40635290088493,67.09125516339138,15.28556212860949,15.402590159413283
35,"(0, 0, 2)","(1, 1, 1, 7)",3527.853999718513,3527.8539997185126,57.48012663183989,67.20318977568088,15.30676895501931,15.421805259775686
36,"(1, 0, 1)","(1, 1, 1, 7)",3537.5573978840093,3537.5573978840093,57.997316996155156,67.84146236754316,15.43068787540554,15.562082860901238
37,"(2, 0, 1)","(1, 1, 1, 7)",3539.556116413507,3539.556116413507,57.998694515791534,67.8418046664127,15.431597594068503,15.562441030015552
38,"(2, 0, 2)","(1, 1, 1, 7)",3530.950209276133,3530.950209276133,58.05899136921194,67.90956967420937,15.452811138198683,15.578297582242264
39,"(1, 0, 2)","(1, 1, 1, 7)",3529.0641674773824,3529.0641674773824,58.10002162692738,67.97912608132229,15.46404163804379,15.58900424387692
40,"(2, 0, 2)","(0, 1, 0, 7)",3757.578289448887,3757.5782894488866,61.013738151297964,74.51151463996253,15.47355816647698,16.594589517403826
41,"(1, 0, 1)","(0, 1, 0, 7)",3801.24578678967,3801.24578678967,62.83659990038048,76.34460320121813,16.129439657859418,17.176855321180813
42,"(0, 0, 0)","(0, 1, 0, 7)",3818.915346893697,3818.9153468936966,64.33333333333333,77.06707035649748,16.611535175496197,17.68782366669729
43,"(0, 0, 1)","(0, 1, 0, 7)",3810.2441992503273,3810.2441992503273,64.33819033852576,77.07159620003962,16.612855367866093,17.689415063459276
44,"(1, 0, 0)","(0, 1, 0, 7)",3820.9153258137294,3820.9153258137294,64.3384613532275,77.07184924815358,16.61292897786254,17.689503900731086
45,"(2, 0, 0)","(0, 1, 0, 7)",3811.8131573673686,3811.8131573673686,64.1109159490637,77.12569262562344,16.51598948659272,17.633458457100737
46,"(0, 0, 2)","(0, 1, 0, 7)",3799.386293737248,3799.386293737248,64.21507237796715,77.23008331817108,16.54871551856002,17.66789148806934
47,"(2, 0, 1)","(0, 1, 0, 7)",3799.786589822093,3799.786589822093,64.65131375014624,78.20603573363675,16.60101447717591,17.773709632668197
48,"(1, 0, 2)","(0, 1, 0, 7)",3786.534510295456,3786.534510295456,65.10769038071814,78.6301551204038,16.731139178454477,17.922954116534164
49,"(2, 0, 1)","(1, 1, 0, 7)",3607.508143986001,3607.5081439860005,69.88373270261515,80.37069382841045,18.931435200856093,18.8800119558373
50,"(1, 0, 1)","(1, 1, 0, 7)",3616.355471081988,3616.355471081988,69.98485769589311,80.52246098196167,18.939990487680365,18.909080855277487
51,"(2, 0, 2)","(1, 1, 0, 7)",3593.963010198945,3593.963010198945,72.5579225867577,82.67359271980503,19.36576652084205,19.82899924663819
52,"(1, 0, 2)","(1, 1, 0, 7)",3621.648543042543,3621.6485430425428,72.32796784318,82.69560704690758,19.317542223702763,19.696411468648286
53,"(2, 0, 0)","(1, 1, 0, 7)",3610.050529519209,3610.0505295192092,72.34716904162042,82.7068251975371,19.34110101760824,19.699722188107955
