model_order,seasonal_order,p,d,q,P,D,Q,seasonal_period,aic,training_seconds,status
"(0, 0, 2)","(1, 1, 1, 7)",0,0,2,1,1,1,7,3527.8539997185126,0.2317,success
"(1, 0, 2)","(0, 1, 1, 7)",1,0,2,0,1,1,7,3528.7967140255746,0.3877,success
"(0, 0, 2)","(0, 1, 1, 7)",0,0,2,0,1,1,7,3528.8518505970374,0.1933,success
"(1, 0, 2)","(1, 1, 1, 7)",1,0,2,1,1,1,7,3529.0641674773824,0.3339,success
"(2, 0, 2)","(0, 1, 1, 7)",2,0,2,0,1,1,7,3530.507601438977,0.5861,success
"(2, 0, 2)","(1, 1, 1, 7)",2,0,2,1,1,1,7,3530.950209276133,0.7754,success
"(0, 0, 1)","(1, 1, 1, 7)",0,0,1,1,1,1,7,3536.873718333389,0.1523,success
"(1, 0, 1)","(0, 1, 1, 7)",1,0,1,0,1,1,7,3537.0445697112827,0.3843,success
"(1, 0, 1)","(1, 1, 1, 7)",1,0,1,1,1,1,7,3537.5573978840093,0.4503,success
"(0, 0, 1)","(0, 1, 1, 7)",0,0,1,0,1,1,7,3537.790044549894,0.1386,success
"(2, 0, 0)","(1, 1, 1, 7)",2,0,0,1,1,1,7,3538.8363439115287,0.1914,success
"(2, 0, 1)","(0, 1, 1, 7)",2,0,1,0,1,1,7,3538.9852321075364,0.5124,success
"(2, 0, 1)","(1, 1, 1, 7)",2,0,1,1,1,1,7,3539.556116413507,0.5072,success
"(0, 0, 0)","(1, 1, 1, 7)",0,0,0,1,1,1,7,3545.5897393302657,0.1492,success
"(0, 0, 0)","(0, 1, 1, 7)",0,0,0,0,1,1,7,3546.041157302516,0.0887,success
"(1, 0, 0)","(1, 1, 1, 7)",1,0,0,1,1,1,7,3547.2644658983877,0.1796,success
"(1, 0, 0)","(0, 1, 1, 7)",1,0,0,0,1,1,7,3547.8771067575826,0.1245,success
"(2, 0, 0)","(0, 1, 1, 7)",2,0,0,0,1,1,7,3549.7752680930107,0.153,success
"(2, 0, 2)","(0, 0, 1, 7)",2,0,2,0,0,1,7,3592.4515685715724,0.4393,success
"(2, 0, 2)","(1, 1, 0, 7)",2,0,2,1,1,0,7,3593.963010198945,0.5739,success
"(2, 0, 2)","(1, 0, 1, 7)",2,0,2,1,0,1,7,3595.1936854735222,0.5978,success
"(1, 0, 2)","(0, 0, 1, 7)",1,0,2,0,0,1,7,3597.357359919486,0.3348,success
"(1, 0, 2)","(1, 0, 1, 7)",1,0,2,1,0,1,7,3598.863522245062,0.5006,success
"(1, 0, 1)","(0, 0, 1, 7)",1,0,1,0,0,1,7,3600.278489811446,0.2221,success
"(2, 0, 2)","(1, 0, 0, 7)",2,0,2,1,0,0,7,3607.0075707216583,0.2343,success
"(2, 0, 1)","(1, 1, 0, 7)",2,0,1,1,1,0,7,3607.5081439860005,0.483,success
"(2, 0, 0)","(1, 1, 0, 7)",2,0,0,1,1,0,7,3610.0505295192092,0.075,success
"(0, 0, 2)","(1, 0, 1, 7)",0,0,2,1,0,1,7,3612.1398001656553,0.4629,success
"(2, 0, 1)","(0, 0, 1, 7)",2,0,1,0,0,1,7,3614.36968355697,0.261,success
"(2, 0, 1)","(1, 0, 0, 7)",2,0,1,1,0,0,7,3614.4411518693473,0.3746,success
"(1, 0, 1)","(1, 1, 0, 7)",1,0,1,1,1,0,7,3616.355471081988,0.4235,success
"(1, 0, 0)","(1, 1, 0, 7)",1,0,0,1,1,0,7,3618.386959978863,0.0576,success
"(1, 0, 2)","(1, 0, 0, 7)",1,0,2,1,0,0,7,3618.9809850506886,0.2617,success
"(1, 0, 1)","(1, 0, 1, 7)",1,0,1,1,0,1,7,3621.328034903008,0.3821,success
"(1, 0, 2)","(1, 1, 0, 7)",1,0,2,1,1,0,7,3621.6485430425428,0.1659,success
"(0, 0, 1)","(1, 0, 1, 7)",0,0,1,1,0,1,7,3621.743995417696,0.3778,success
"(2, 0, 0)","(1, 0, 1, 7)",2,0,0,1,0,1,7,3623.4532085805304,0.3044,success
"(2, 0, 1)","(1, 0, 1, 7)",2,0,1,1,0,1,7,3623.854370146976,0.4401,success
"(1, 0, 1)","(1, 0, 0, 7)",1,0,1,1,0,0,7,3624.210982786183,0.2482,success
"(0, 0, 0)","(1, 1, 0, 7)",0,0,0,1,1,0,7,3627.217057445904,0.0202,success
"(0, 0, 1)","(1, 1, 0, 7)",0,0,1,1,1,0,7,3628.806322382812,0.06,success
"(0, 0, 0)","(1, 0, 1, 7)",0,0,0,1,0,1,7,3630.20356847856,0.0631,success
"(0, 0, 2)","(1, 1, 0, 7)",0,0,2,1,1,0,7,3630.7635505686017,0.0791,success
"(1, 0, 0)","(1, 0, 1, 7)",1,0,0,1,0,1,7,3631.8612978626497,0.34,success
"(1, 0, 2)","(0, 0, 0, 7)",1,0,2,0,0,0,7,3668.02803080147,0.1807,success
"(2, 0, 2)","(0, 0, 0, 7)",2,0,2,0,0,0,7,3669.46116399084,0.2489,success
"(2, 0, 1)","(0, 0, 0, 7)",2,0,1,0,0,0,7,3678.192147704811,0.1871,success
"(1, 0, 1)","(0, 0, 0, 7)",1,0,1,0,0,0,7,3688.938079339616,0.0571,success
"(2, 0, 0)","(1, 0, 0, 7)",2,0,0,1,0,0,7,3722.9860646879506,0.0779,success
"(2, 0, 0)","(0, 0, 1, 7)",2,0,0,0,0,1,7,3734.610260561209,0.0485,success
"(2, 0, 2)","(0, 1, 0, 7)",2,0,2,0,1,0,7,3757.5782894488866,0.4238,success
"(1, 0, 2)","(0, 1, 0, 7)",1,0,2,0,1,0,7,3786.534510295456,0.1128,success
"(2, 0, 0)","(0, 0, 0, 7)",2,0,0,0,0,0,7,3797.514820973777,0.0328,success
"(0, 0, 2)","(0, 1, 0, 7)",0,0,2,0,1,0,7,3799.386293737248,0.0295,success
"(2, 0, 1)","(0, 1, 0, 7)",2,0,1,0,1,0,7,3799.786589822093,0.1437,success
"(1, 0, 1)","(0, 1, 0, 7)",1,0,1,0,1,0,7,3801.24578678967,0.1276,success
"(0, 0, 1)","(0, 1, 0, 7)",0,0,1,0,1,0,7,3810.2441992503273,0.0213,success
"(2, 0, 0)","(0, 1, 0, 7)",2,0,0,0,1,0,7,3811.8131573673686,0.0122,success
"(1, 0, 0)","(1, 0, 0, 7)",1,0,0,1,0,0,7,3816.8113250502593,0.0871,success
"(0, 0, 0)","(0, 1, 0, 7)",0,0,0,0,1,0,7,3818.9153468936966,0.0101,success
"(1, 0, 0)","(0, 1, 0, 7)",1,0,0,0,1,0,7,3820.9153258137294,0.0115,success
"(0, 0, 0)","(1, 0, 0, 7)",0,0,0,1,0,0,7,3825.5773352403826,0.032,success
"(1, 0, 0)","(0, 0, 1, 7)",1,0,0,0,0,1,7,3828.2671966935595,0.0346,success
"(0, 0, 1)","(1, 0, 0, 7)",0,0,1,1,0,0,7,3828.440170149254,0.1756,success
"(0, 0, 2)","(1, 0, 0, 7)",0,0,2,1,0,0,7,3828.713154110696,0.142,success
"(1, 0, 0)","(0, 0, 0, 7)",1,0,0,0,0,0,7,3905.830527151242,0.0236,success
"(0, 0, 2)","(0, 0, 1, 7)",0,0,2,0,0,1,7,4125.402168773642,0.1886,success
"(0, 0, 1)","(0, 0, 1, 7)",0,0,1,0,0,1,7,4284.593427027088,0.1168,success
"(0, 0, 2)","(0, 0, 0, 7)",0,0,2,0,0,0,7,4329.462248828599,0.0655,success
"(0, 0, 0)","(0, 0, 1, 7)",0,0,0,0,0,1,7,4455.589191307114,0.0859,success
"(0, 0, 1)","(0, 0, 0, 7)",0,0,1,0,0,0,7,4548.563623790047,0.0431,success
"(0, 0, 0)","(0, 0, 0, 7)",0,0,0,0,0,0,7,4877.666426693237,0.0459,success
